date,close,high,low,open,volume,simple_return_pct,log_return,next_simple_return_pct,next_log_return
2009-05-04,907.24,907.85,879.21,879.21,7038840000,0.0338681739447535,0.0333072766091565,-0.003791719941801608,-0.003798926735055886
2009-05-05,903.8,907.7,897.34,906.1,6882860000,-0.003791719941801608,-0.003798926735055886,0.017404292985173653,0.01725457296237231
2009-05-06,919.53,920.28,903.95,903.95,8555040000,0.017404292985173653,0.01725457296237231,-0.013202396876665246,-0.013290323268540793
2009-05-07,907.39,929.58,901.36,919.58,9120100000,-0.013202396876665246,-0.013290323268540793,0.02406903316104425,0.023783939541346093
2009-05-08,929.23,930.17,909.03,909.03,8163280000,0.02406903316104425,0.023783939541346093,-0.021512435026850185,-0.021747200481074702
2009-05-11,909.24,922.99,908.68,922.99,6150600000,-0.021512435026850185,-0.021747200481074702,-0.0009788394703268422,-0.0009793188465282718
2009-05-12,908.35,915.57,896.46,910.52,6871750000,-0.0009788394703268422,-0.0009793188465282718,-0.026894919359277902,-0.02726320607983457
2009-05-13,883.92,905.4,882.8,905.4,7091820000,-0.026894919359277902,-0.02726320607983457,0.010351615530817426,0.010298404457450127
2009-05-14,893.07,898.36,882.52,884.24,6134870000,0.010351615530817426,0.010298404457450127,-0.011410079836966958,-0.011475674233448351
2009-05-15,882.88,896.97,878.94,892.76,5439720000,-0.011410079836966958,-0.011475674233448351,0.030389180862631537,0.029936576373611083
2009-05-18,909.71,910.0,886.07,886.07,5702150000,0.030389180862631537,0.029936576373611083,-0.0017368172274681015,-0.0017383272431764048
2009-05-19,908.13,916.39,905.22,909.67,6616270000,-0.0017368172274681015,-0.0017383272431764048,-0.005131423915078148,-0.005144634884210452
2009-05-20,903.47,924.6,901.37,908.62,8205060000,-0.005131423915078148,-0.005144634884210452,-0.016757612316955717,-0.01689960969556584
2009-05-21,888.33,900.42,879.61,900.42,6019840000,-0.016757612316955717,-0.01689960969556584,-0.0014971913590670072,-0.0014983132699999018
2009-05-22,887.0,896.65,883.75,888.68,5155320000,-0.0014971913590670072,-0.0014983132699999018,0.026302142051860322,0.025962188826917313
2009-05-26,910.33,911.76,881.46,887.0,5667050000,0.026302142051860322,0.025962188826917313,-0.018971142333000235,-0.01915340326737425
2009-05-27,893.06,913.84,891.87,909.95,5698800000,-0.018971142333000235,-0.01915340326737425,0.015418896826641104,0.015301233587101505
2009-05-28,906.83,909.45,887.6,892.96,5738980000,0.015418896826641104,0.015301233587101505,0.013574760429187371,0.013483448796435801
2009-05-29,919.14,920.02,903.56,907.02,6050420000,0.013574760429187371,0.013483448796435801,0.02581761211567346,0.02548996497720596
2009-06-01,942.87,947.77,923.26,923.26,6370440000,0.02581761211567346,0.02548996497720596,0.0019833062882474994,0.0019813421329166413
2009-06-02,944.74,949.38,938.46,942.87,5987340000,0.0019833062882474994,0.0019813421329166413,-0.0137392298410145,-0.013834486568385958
2009-06-03,931.76,942.51,923.85,942.51,5323770000,-0.0137392298410145,-0.013834486568385958,0.011483643856787129,0.011418207308851205
2009-06-04,942.46,942.47,929.32,932.49,5352890000,0.011483643856787129,0.011418207308851205,-0.002514695583897497,-0.0025178627415764552
2009-06-05,940.09,951.69,934.13,945.67,5277910000,-0.002514695583897497,-0.0025178627415764552,-0.001010541543894794,-0.001011052485248075
2009-06-08,939.14,946.33,926.44,938.12,4483430000,-0.001010541543894794,-0.001011052485248075,0.003503205059948389,0.003497083130518968
2009-06-09,942.43,946.92,936.15,940.35,4439950000,0.003503205059948389,0.003497083130518968,-0.003480364589412477,-0.003486435147513123
2009-06-10,939.15,949.77,927.97,942.73,5379420000,-0.003480364589412477,-0.003486435147513123,0.006111909705584839,0.006093307742659376
2009-06-11,944.89,956.23,939.04,939.04,5500840000,0.006111909705584839,0.006093307742659376,0.0013969880091864173,0.0013960131292622697
2009-06-12,946.21,946.3,935.66,943.44,4528120000,0.0013969880091864173,0.0013960131292622697,-0.02376850804789632,-0.024055536315656614
2009-06-15,923.72,942.45,919.65,942.45,4697880000,-0.02376850804789632,-0.024055536315656614,-0.01272030485428488,-0.012801900619248449
2009-06-16,911.97,928.0,911.6,925.6,4951200000,-0.01272030485428488,-0.012801900619248449,-0.0013816243955393492,-0.0013825797185576352
2009-06-17,910.71,918.44,903.78,911.89,5523650000,-0.0013816243955393492,-0.0013825797185576352,0.008411019973427303,0.008375844448658284
2009-06-18,918.37,921.93,907.94,910.86,4684010000,0.008411019973427303,0.008375844448658284,0.0031142132256063437,0.0031093741076927695
2009-06-19,921.23,927.09,915.8,919.96,5713390000,0.0031142132256063437,0.0031093741076927695,-0.030600392952899957,-0.031078360927762203
2009-06-22,893.04,918.13,893.04,918.13,4903940000,-0.030600392952899957,-0.031078360927762203,0.0023067275821913036,0.002304071170416657
2009-06-23,895.1,898.69,888.86,893.46,5071020000,0.0023067275821913036,0.002304071170416657,0.006524410680371018,0.006503218839248371
2009-06-24,900.94,910.85,896.31,896.31,4636720000,0.006524410680371018,0.006503218839248371,0.021444269318711573,0.021217576096281384
2009-06-25,920.26,921.42,896.27,899.45,4911240000,0.021444269318711573,0.021217576096281384,-0.0014778432182209755,-0.0014789363055836941
2009-06-26,918.9,922.0,913.03,918.84,6076660000,-0.0014778432182209755,-0.0014789363055836941,0.009065186636195488,0.009024344474136607
2009-06-29,927.23,927.99,916.18,919.86,4211760000,0.009065186636195488,0.009024344474136607,-0.008530785242065075,-0.008567380664245961
2009-06-30,919.32,930.01,912.86,927.15,4627570000,-0.008530785242065075,-0.008567380664245961,0.004361919679763293,0.004352434081724914
2009-07-01,923.33,931.92,920.82,920.82,3919400000,0.004361919679763293,0.004352434081724914,-0.029144509546966013,-0.0295776472524855
2009-07-02,896.42,921.24,896.42,921.24,3931000000,-0.029144509546966013,-0.0295776472524855,0.00256576158497146,0.002562475638153287
2009-07-06,898.72,898.72,886.36,894.27,4712580000,0.00256576158497146,0.002562475638153287,-0.01968354993768917,-0.01987985121431268
2009-07-07,881.03,898.6,879.93,898.6,4673300000,-0.01968354993768917,-0.01987985121431268,-0.0016685016401257746,-0.0016698951392400763
2009-07-08,879.56,886.8,869.32,881.9,5721780000,-0.0016685016401257746,-0.0016698951392400763,0.0035472281595343436,0.003540951584310035
2009-07-09,882.68,887.86,878.45,881.28,4347170000,0.0035472281595343436,0.003540951584310035,-0.004021842570353873,-0.0040299519295311295
2009-07-10,879.13,883.57,872.81,880.03,3912080000,-0.004021842570353873,-0.0040299519295311295,0.024933741312433755,0.024627967878931317
2009-07-13,901.05,901.05,875.32,879.57,4499440000,0.024933741312433755,0.024627967878931317,0.00531602019865729,0.005301940041504133
2009-07-14,905.84,905.84,896.5,900.77,4149030000,0.00531602019865729,0.005301940041504133,0.029629956725249373,0.029199472375008
2009-07-15,932.68,933.95,910.15,910.15,5238830000,0.029629956725249373,0.029199472375008,0.008641763520178536,0.008604637219621987
2009-07-16,940.74,943.96,927.45,930.17,4898640000,0.008641763520178536,0.008604637219621987,-0.0003826774666751964,-0.0003827507063823333
2009-07-17,940.38,941.89,934.65,940.56,5141380000,-0.0003826774666751964,-0.0003827507063823333,0.011431548948297454,0.011366702521417232
2009-07-20,951.13,951.62,940.99,942.07,4853150000,0.011431548948297454,0.011366702521417232,0.0036272644118049424,0.003620701753126186
2009-07-21,954.58,956.53,943.22,951.97,5309300000,0.0036272644118049424,0.003620701753126186,-0.0005342663789310587,-0.00053440915006703
2009-07-22,954.07,959.83,947.75,953.4,4634100000,-0.0005342663789310587,-0.00053440915006703,0.023289695724632242,0.02302262940740808
2009-07-23,976.29,979.42,953.27,954.07,5761650000,0.023289695724632242,0.02302262940740808,0.003042128875641481,0.0030375109647431194
2009-07-24,979.26,979.79,965.95,972.16,4458300000,0.003042128875641481,0.0030375109647431194,0.002981843432796172,0.0029774065555280248
2009-07-27,982.18,982.49,972.29,978.63,4631290000,0.002981843432796172,0.0029774065555280248,-0.0026064468834632315,-0.002609849580059383
2009-07-28,979.62,982.35,969.35,981.48,5490350000,-0.0026064468834632315,-0.002609849580059383,-0.004562993813927885,-0.004573436047540637
2009-07-29,975.15,977.76,968.65,977.66,5178770000,-0.004562993813927885,-0.004573436047540637,0.01189560580423521,0.011825409224369018
2009-07-30,986.75,996.68,976.01,976.01,6035180000,0.01189560580423521,0.011825409224369018,0.0007398023815556876,0.0007395288626654475
