platform,feature,r,p_value,n
Twitter,VADER Sentiment,-0.010784508314652209,0.5826281188408448,2599
Twitter,FinBERT Polarity,-0.014791338145974667,0.451001369291215,2599
Twitter,Post Count,0.005012577386148676,0.7983973237442646,2599
Twitter,Novelty Score,0.001296937027922209,0.9474204682813396,2588
Twitter,VADER Std,0.0016732086701871716,0.934731542772857,2398
Truth Social,VADER Sentiment,-0.005898922780760254,0.8578060281301236,925
Truth Social,FinBERT Polarity,-0.048336224350853114,0.14184371820709665,925
Truth Social,Post Count,0.040448546405915824,0.21905904384987723,925
Truth Social,Novelty Score,-0.03349409448668505,0.30887228268111216,925
Truth Social,VADER Std,0.007653902963997493,0.8175461329666595,911
