topic,n_topic_days,raw_diff_bps,beta_adj,t_stat,p_value,p_bonferroni,significant
Rallies Nationalism,1758,-5.53345663092889,-0.0005426969810671252,-1.4667881799422189,0.14252294180202837,1.0,False
Endorsements,450,-5.3915204455185215,-0.0005205787948600338,-0.9381269663798076,0.3482434737004758,1.0,False
Rallies Campaign,879,-3.939293159759307,-0.000437153990781627,-1.0604890688440278,0.28899485706338024,1.0,False
Trump Identity,1623,-3.2079619680833633,-0.0002998072332692809,-0.832771627810399,0.405029988508661,1.0,False
Economy Markets,983,-2.1862671932488897,-0.00018022143744801859,-0.38364485282558525,0.7012648414725596,1.0,False
Legal,485,-0.9028387594182594,-1.9347579128426522e-05,-0.03742498234715717,0.9701482739858658,1.0,False
Motivational Business,716,-0.07043023661500473,1.8663031867146018e-05,0.04659677694884699,0.9628372419245441,1.0,False
Motivational,697,0.16534452946589104,5.407033539086997e-05,0.13286469560228853,0.8943079761432021,1.0,False
Energy Environment,141,0.44696082400476844,-3.5898167990453463e-07,-0.0004891742536756442,0.999609723126927,1.0,False
Sports,280,1.0205671680370754,0.00012127672002079446,0.2248346439455328,0.8221209533178325,1.0,False
Trade Geopolitics,985,1.8945008815905842,0.0001694367920805633,0.40995716327717147,0.6818622977146164,1.0,False
Praise Thanks,779,2.895689252693907,0.0002769761273641078,0.5282466280769793,0.5973614419101266,1.0,False
Elections,1956,3.835321646525088,0.0003988464458886174,1.0565952811921167,0.2907687817722598,1.0,False
Media Attacks,709,4.112991851967807,0.000499824074601221,0.9474751397445723,0.3434617013983949,1.0,False
Book Promotion,271,7.522211474635871,0.0007021364018000053,0.8635308894893979,0.3879044276629276,1.0,False
