scenario,sample_name,target,feature_set,model,n_features,n_predictions,n_folds,mean_fold_roc_auc,std_fold_roc_auc,mean_best_cv_roc_auc,overall_accuracy,overall_balanced_accuracy,overall_f1,overall_roc_auc
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_simple_nlp,gradient_boosting,31,160,3,0.5814583649837107,0.11737556465396891,0.5273304622841376,0.5625,0.5383022774327122,0.65,0.57700270743749
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_event_regimes,random_forest,49,160,3,0.5707008940879909,0.1364188819648069,0.5091551207450805,0.575,0.5457875457875457,0.6699029126213593,0.57318044274566
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_event_regimes,logreg,49,38,1,0.5583333333333333,,0.5155334005014176,0.47368421052631576,0.49722222222222223,0.6296296296296297,0.5583333333333333
next_day_large_move_all_days,all_days,next_large_move_direction,controls_plus_simple_nlp,random_forest,31,271,4,0.5720793862353182,0.0946212354713031,0.5185531740177152,0.5867158671586716,0.5635537190082645,0.6763005780346821,0.5570798898071625
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_plus_simple_nlp,logreg,31,38,1,0.5555555555555556,,0.5363053258042597,0.47368421052631576,0.4638888888888889,0.3333333333333333,0.5555555555555556
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_only,logreg,24,38,1,0.5527777777777777,,0.594234869608004,0.5526315789473685,0.55,0.5142857142857142,0.5527777777777777
next_day_large_move_all_days,all_days,next_large_move_direction,controls_only,gradient_boosting,24,271,4,0.580583923399848,0.036812736862334154,0.5237516014984162,0.5793357933579336,0.543305785123967,0.6984126984126984,0.5487603305785123
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_plus_event_proxies,logreg,41,38,1,0.5472222222222223,,0.5277782984606012,0.5789473684210527,0.5805555555555556,0.5789473684210527,0.5472222222222223
next_day_large_move_all_days,all_days,next_large_move_direction,controls_plus_event_proxies,random_forest,41,271,4,0.5586358348170724,0.024001064659509293,0.5145024741345691,0.5535055350553506,0.5311570247933884,0.6472303206997084,0.5463636363636364
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_event_regimes,gradient_boosting,49,160,3,0.565893342448642,0.12231735286192202,0.5254750364615595,0.58125,0.5547857939162287,0.6699507389162561,0.5402134097786272
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_plus_simple_nlp,random_forest,31,38,1,0.5333333333333333,,0.5018780564546632,0.47368421052631576,0.475,0.47368421052631576,0.5333333333333333
next_day_large_move_all_days,all_days,next_large_move_direction,controls_event_regimes,random_forest,49,271,4,0.5564173274741051,0.049162193306153595,0.5108393765692192,0.5535055350553506,0.5311570247933884,0.6472303206997084,0.5248760330578512
next_day_large_move_all_days,all_days,next_large_move_direction,controls_only,random_forest,24,271,4,0.5460580227641668,0.11548253905082033,0.5114565198449357,0.5645756457564576,0.5451515151515152,0.6488095238095238,0.5228099173553719
next_day_large_move_all_days,all_days,next_large_move_direction,controls_plus_event_proxies,logreg,41,271,4,0.5454439056054786,0.07053471574474396,0.5261944584865488,0.5276752767527675,0.5158126721763086,0.5949367088607594,0.522754820936639
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_event_regimes,gradient_boosting,49,38,1,0.5222222222222223,,0.5407000097070156,0.5789473684210527,0.5833333333333333,0.6,0.5222222222222223
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_only,random_forest,24,38,1,0.5222222222222221,,0.528272017352127,0.5263157894736842,0.5305555555555556,0.55,0.5222222222222221
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_event_proxies,gradient_boosting,41,160,3,0.5397021453329057,0.11524211877728217,0.5225754136532461,0.58125,0.5477783086478738,0.6824644549763034,0.5186335403726707
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_event_proxies,logreg,41,160,3,0.5392759730029315,0.11704955281271885,0.5470888281719029,0.50625,0.5098741837872273,0.5269461077844312,0.514890906195254
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_plus_event_proxies,gradient_boosting,41,38,1,0.5083333333333333,,0.5399259589025047,0.5,0.5027777777777778,0.5128205128205128,0.5083333333333333
