scenario,sample_name,target,feature_set,model,n_features,n_predictions,n_folds,mean_fold_roc_auc,std_fold_roc_auc,mean_best_cv_roc_auc,overall_accuracy,overall_balanced_accuracy,overall_f1,overall_roc_auc
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_event_regimes,logreg,49,38,1,0.5583333333333333,,0.5155334005014176,0.47368421052631576,0.49722222222222223,0.6296296296296297,0.5583333333333333
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_plus_simple_nlp,logreg,31,38,1,0.5555555555555556,,0.5363053258042597,0.47368421052631576,0.4638888888888889,0.3333333333333333,0.5555555555555556
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_only,logreg,24,38,1,0.5527777777777777,,0.594234869608004,0.5526315789473685,0.55,0.5142857142857142,0.5527777777777777
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_plus_event_proxies,logreg,41,38,1,0.5472222222222223,,0.5277782984606012,0.5789473684210527,0.5805555555555556,0.5789473684210527,0.5472222222222223
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_plus_simple_nlp,random_forest,31,38,1,0.5333333333333333,,0.5018780564546632,0.47368421052631576,0.475,0.47368421052631576,0.5333333333333333
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_event_regimes,gradient_boosting,49,38,1,0.5222222222222223,,0.5407000097070156,0.5789473684210527,0.5833333333333333,0.6,0.5222222222222223
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_only,random_forest,24,38,1,0.5222222222222221,,0.528272017352127,0.5263157894736842,0.5305555555555556,0.55,0.5222222222222221
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_plus_event_proxies,gradient_boosting,41,38,1,0.5083333333333333,,0.5399259589025047,0.5,0.5027777777777778,0.5128205128205128,0.5083333333333333
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_only,gradient_boosting,24,38,1,0.49722222222222223,,0.5220999454398785,0.42105263157894735,0.43333333333333335,0.5217391304347826,0.49722222222222223
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_plus_event_proxies,random_forest,41,38,1,0.49444444444444446,,0.5129235103915275,0.5526315789473685,0.5611111111111111,0.6046511627906976,0.49444444444444446
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_plus_simple_nlp,gradient_boosting,31,38,1,0.4916666666666667,,0.5306879763550492,0.5526315789473685,0.5583333333333333,0.5853658536585366,0.4916666666666667
next_day_large_move_event_days,event_days_only,next_large_move_direction,controls_event_regimes,random_forest,49,38,1,0.4763888888888889,,0.5001293292452293,0.47368421052631576,0.48888888888888893,0.5833333333333334,0.4763888888888889
