scenario,sample_name,target,feature_set,model,fold_start,fold_end,n_train,n_test,best_params,best_cv_roc_auc,fold_accuracy,fold_balanced_accuracy,fold_f1,fold_roc_auc
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_only,logreg,2023-01-01,2023-12-31,353,57,{'model__C': 0.1},0.5481330109823936,0.5087719298245614,0.5049627791563276,0.5483870967741935,0.4900744416873449
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_only,logreg,2024-01-01,2024-12-31,410,47,{'model__C': 0.05},0.5425614818295739,0.46808510638297873,0.5385416666666667,0.46808510638297873,0.5708333333333333
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_only,logreg,2025-01-01,2025-12-31,457,56,{'model__C': 0.05},0.5266026409769147,0.5,0.5,0.5625,0.5395408163265306
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_only,random_forest,2023-01-01,2023-12-31,353,57,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.5154318493003384,0.5263157894736842,0.499379652605459,0.6493506493506493,0.4987593052109181
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_only,random_forest,2024-01-01,2024-12-31,410,47,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__n_estimators': 200}",0.5187088815789473,0.6170212765957447,0.6479166666666667,0.6666666666666666,0.7479166666666667
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_only,random_forest,2025-01-01,2025-12-31,457,56,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.548416553957042,0.5,0.5,0.631578947368421,0.45280612244897955
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_only,gradient_boosting,2023-01-01,2023-12-31,353,57,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 100}",0.514778783979469,0.5263157894736842,0.49317617866004965,0.6666666666666666,0.5024813895781638
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_only,gradient_boosting,2024-01-01,2024-12-31,410,47,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 100}",0.5206110980576442,0.7446808510638298,0.6885416666666666,0.8181818181818182,0.75625
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_only,gradient_boosting,2025-01-01,2025-12-31,457,56,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200}",0.5342825068512786,0.42857142857142855,0.4285714285714286,0.5555555555555556,0.3673469387755102
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_simple_nlp,logreg,2023-01-01,2023-12-31,353,57,{'model__C': 0.05},0.528209321414234,0.5087719298245614,0.49255583126550867,0.6,0.4478908188585607
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_simple_nlp,logreg,2024-01-01,2024-12-31,410,47,{'model__C': 0.05},0.5314340538847118,0.5106382978723404,0.5697916666666667,0.5306122448979592,0.5604166666666667
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_simple_nlp,logreg,2025-01-01,2025-12-31,457,56,{'model__C': 0.5},0.5315661221124219,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5293367346938775
