scenario,sample_name,target,feature_set,model,n_features,n_predictions,n_folds,mean_fold_roc_auc,std_fold_roc_auc,mean_best_cv_roc_auc,overall_accuracy,overall_balanced_accuracy,overall_f1,overall_roc_auc
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_simple_nlp,gradient_boosting,31,160,3,0.5814583649837107,0.11737556465396891,0.5273304622841376,0.5625,0.5383022774327122,0.65,0.57700270743749
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_event_regimes,random_forest,49,160,3,0.5707008940879909,0.1364188819648069,0.5091551207450805,0.575,0.5457875457875457,0.6699029126213593,0.57318044274566
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_event_regimes,gradient_boosting,49,160,3,0.565893342448642,0.12231735286192202,0.5254750364615595,0.58125,0.5547857939162287,0.6699507389162561,0.5402134097786272
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_event_proxies,gradient_boosting,41,160,3,0.5397021453329057,0.11524211877728217,0.5225754136532461,0.58125,0.5477783086478738,0.6824644549763034,0.5186335403726707
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_event_proxies,logreg,41,160,3,0.5392759730029315,0.11704955281271885,0.5470888281719029,0.50625,0.5098741837872273,0.5269461077844312,0.514890906195254
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_simple_nlp,logreg,31,160,3,0.5125480734063683,0.05811119485179504,0.5304031658037892,0.51875,0.5156075808249722,0.56,0.5050167224080268
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_simple_nlp,random_forest,31,160,3,0.548962641301351,0.12450739349794587,0.514861350915162,0.5625,0.540054148749801,0.6464646464646465,0.5032648510909381
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_only,logreg,24,160,3,0.5334828637824028,0.0407188376153139,0.5390990445962941,0.49375,0.49187768752986144,0.5317919075144508,0.5024685459468068
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_only,random_forest,24,160,3,0.5664940314421881,0.1587877614312063,0.5275190949454426,0.54375,0.5130594043637522,0.6473429951690821,0.5013537187450231
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_only,gradient_boosting,24,160,3,0.5420261094512246,0.1974442615267001,0.5232241296294639,0.55625,0.5152890587673197,0.6757990867579908,0.49339066730371073
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_event_proxies,random_forest,41,160,3,0.5304614836008845,0.13277826292592418,0.5116956608933699,0.5625,0.5295429208472687,0.6666666666666666,0.4760312151616499
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_event_regimes,logreg,49,160,3,0.5444414904092324,0.14766271550808835,0.5395145515411199,0.4375,0.4459308807134894,0.4375,0.4672718585762064
