feature,importance_mean,importance_std
mean_word_count,0.032636469221835086,0.018418327298384763
finbert_std,0.02707137131733488,0.007148172459652831
vader_std,0.018730267785575218,0.009529025222833151
return_lag2,0.00833210645989756,0.0023911719547970466
finbert_mean,0.00725818324581633,0.004695320420352412
return_lag1,0.006487706728173936,0.008770006060231532
emb_diversity,0.0038311167819927716,0.0016259175148354535
vader_7d_rolling,0.0023588686591091146,0.0027753727188026614
vader_momentum,0.0019450033534540445,0.007398799632313786
cluster_topic_1,0.001776512734946245,0.0010944970246511813
vader_3d_rolling,0.0016358312476485227,0.0014576165183354786
vol_20d,0.0014166298604635697,0.004202712492949033
cluster_topic_4,0.001140174379610981,0.000777701427038918
cluster_topic_5,0.0008391814300436784,0.00022679135155538263
vader_max_neg,0.0006134367178681655,0.006664012908024838
topic_trump_identity,0.0005087435180186839,0.0004724381465527148
topic_trade_geopolitics,0.0004007786556738835,0.0006586633434849297
topic_economy_markets,1.962997497175767e-05,0.00036518261013409676
topic_sports,0.0,0.0
cluster_topic_12,0.0,0.0
cluster_topic_11,0.0,0.0
cluster_topic_0,0.0,0.0
cluster_outlier,0.0,0.0
cluster_topic_8,0.0,0.0
cluster_topic_13,0.0,0.0
topic_endorsements,0.0,0.0
topic_motivational_business,0.0,0.0
topic_energy_environment,0.0,0.0
topic_praise_thanks,0.0,0.0
topic_elections,0.0,0.0
exclamation_max,0.0,0.0
cluster_topic_9,0.0,0.0
cluster_topic_7,0.0,0.0
cluster_topic_3,0.0,0.0
cluster_topic_6,0.0,0.0
cluster_topic_10,0.0,0.0
topic_book_promotion,-3.2716624952966457e-06,9.814987485889938e-06
topic_rallies_nationalism,-1.3086649981186583e-05,2.6173299962373166e-05
vader_mean,-0.0008048289738430969,0.002168347231175258
exclamation_mean,-0.0012317809294793535,0.005505451003259031
cluster_topic_2,-0.0013593757667958784,0.0010168885455362744
vader_max_pos,-0.0015311380477990078,0.008995781544822537
novelty_score,-0.0036986144509332463,0.0028934100160528447
caps_ratio_mean,-0.0037542327133533115,0.0027382881844619
max_engagement,-0.004773355580638339,0.006087168760460628
vol_5d,-0.0071518542147192225,0.004584203941555042
post_count,-0.008471970031571564,0.0121071769516802
